Role,Organization,Jurisdiction
Fire behavior analyst,Colorado State Forest Service,State
Director,Watershed Program,State
Forester,Colorado State Forest Service ,State
Firefighter (7),Poudre Canyon Fire Protection District ,Fire district
Fire manager, U.S. Forest Service,Federal
Fuels technician,Bureau of Land Management,Federal
Wildland firefighter,Interagency Hotshot Crew,Federal
District ranger,U.S. Forest Service,Federal
 Fire management planning specialist,U.S. Forest Service,Federal
Emergency services specialist, Emergency Services,County
Director, Emergency Management,County
Water manager,Front Range city,Municipal
Director,Watershed Coalition ,Nonprofit
